Year,REF_AREA,"Agriculture, forestry, and fishing, value added (% of GDP)","Energy productivity, GDP per unit of TES","Industry (including construction), value added (% of GDP)","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions",Real GDP per capita,"Services, value added (% of GDP)"
2012,LAO,0.17015186052028597,9.378302659,0.2809341918789402,2.585505848,8.535655705,0.3375596608753745
2005,LAO,0.24916316831293214,9.22493436,0.2088725196301666,2.87356464,8.100780375,0.36040088847833474
2017,LAO,0.1501405921625245,9.025516888,0.26935878719938194,1.30833282,8.817096282,0.3473261626453428
2006,LAO,0.23688604835223265,9.219001754,0.2325032230101222,2.717340248,8.167607346,0.32312550464352047
2010,LAO,0.2037225310528028,9.264582315,0.2659426321586324,2.546315278,8.409915283,0.36166281997707866
2021,LAO,0.14900342972062325,9.218891705,0.29363912666927705,1.401182974,8.900673052,0.3282147054310231
2016,LAO,0.15896913753484182,9.048301327,0.2527761729669567,1.406096988,8.766154186,0.35401126118362225
2020,LAO,0.15132751902780178,9.244282756,0.2807810737410854,1.425515074,8.890117201,0.343943537528429
2009,LAO,0.21676627645497137,9.209535048,0.22444745126707374,2.577181926,8.342820756,0.37637184152807657
2019,LAO,0.14885386874445786,9.145021813,0.27407528354604105,1.406096988,8.900034978,0.34723095563353734
2015,LAO,0.16201475987562716,9.220786619,0.24446145588005813,1.853168097,8.713922128,0.3658158243049335
2008,LAO,0.21653360487174977,9.184918969,0.23862094177424029,2.629006994,8.285457836,0.3653934396617721
2018,LAO,0.14590984696084472,9.077947759,0.2740890482272298,1.340250423,8.862157837,0.34789519125952395
2007,LAO,0.2294289463682681,9.199452312,0.22628278276703404,2.72850621,8.225331731,0.34832956200674703
2015,MMR,0.23721826578625393,9.442823375,0.2961621742853611,2.580974119,8.402834536,0.32757131281209717
2019,MMR,0.18931502704092826,9.467042483,0.32506897370898213,2.335052283,8.61391147,0.3417811983973077
2020,MMR,0.20227656218588497,9.37851821,0.31877306630744356,2.263844265,8.511973593,0.33673957159831913
2017,MMR,0.21029437792203626,9.349374223,0.3133565523648254,2.242835089,8.503684357,0.33500652584892926
2014,MMR,0.24552952595220495,9.407145697,0.2963175402413556,2.630448955,8.343263524,0.319765471138567
2021,MMR,0.20526703590500645,9.282445196,0.3170774390083443,2.237513096,8.377020365,0.3357849998137995
2018,MMR,0.19947039138534528,9.403341367,0.31454399988853354,2.30058309,8.557228957,0.3433125886921039
2016,MMR,0.22815993141438784,9.429535338,0.298692521131919,2.528923535,8.45186716,0.3333378452591314
2013,MMR,0.25877108904529605,9.421636418,0.28037206634145717,2.769458829,8.273048144,0.3228372367766708
2006,MMR,0.3640801669687464,8.871492716,0.17594538045069769,2.474856314,7.714561447,0.3133498192003587
2008,MMR,0.338435277167158,9.085973712,0.20429352381473717,2.900871993,7.912767259,0.31524195269382194
2010,MMR,0.3137377249493467,9.370151288,0.23481963418058907,3.054001182,8.091976295,0.3124639005745236
2007,MMR,0.3599290057321475,8.949136634,0.18572517208491598,2.539236994,7.82067634,0.31481073984003355
2005,MMR,0.38313251787296965,8.760937483,0.16137201113828806,2.291524146,7.599010671,0.31115442863692305
2011,MMR,0.2813836477023767,9.411096791,0.2722509893374454,3.040705639,8.138336908,0.3090435480829014
2012,MMR,0.2668939874566244,9.39167978,0.28045366635805996,2.811208293,8.200667101,0.31507916731380514
2009,MMR,0.32286667501552807,9.243136646,0.21939256595638285,3.069447311,8.007470293,0.31743410675096406
